Q, A
기프트콘으로 선물 받았다, 좋겠다 아이고.
기프트콘으로 선물해야겠다, 직접 주는 게 더 낫지.
기회 놓쳤다, 더 좋은 기회 또 온다 아이가.
기회 못 잡았다, 또 올 기다. 걱정 마라.
기획사면 예쁜 애들 많겠지, 연예인 준비하니 당연하지.
기획사에 예쁜 애들 많겠지, 연예인 준비하니 일반인보단 낫겠지.
긴 머리 관리 어렵다, 그래서 나도 못 기르고 자른다 아이가.
긴 머리 관리 힘들다, 그래서 나도 그냥 잘라뿐다.
긴 시간 걸렸지만 괜찮다 아이가, 괜찮아지고 있어 다행이에요.
긴장 푸는 법 좀 알려주소, 크게 숨 한 번 쉬어 보이소
긴장된다카이, 크게 숨 한 번 쉬어 보이소
긴장되가 땀이 다 난다, 미리 긴장하지 마이소.
길 가다가 연락처 물어보면 줘도 되나 아이가, 마음에 들면 줘보이소.
길에서 담배 피우는 사람 진짜 싫더라, 나도 싫어예.
길 가다가 번호 따이뿟다, 잘 해보이소.
길에서 전번 물어보면 줘도 되나 아이가, 마음에 들면 줘보이소.
길에서 헌팅 당했데이, 잘 해보이소.
길은 멀고 해는 다 지고, 그래도 넘어갈 수 있을 끼다.
길이 미끄러가 미끄러질 뻔했데이, 조심하이소.
길이 안 보인다 아이가, 너무 낙담하지 마이소.
길이 얼어붙어가 미끄러질 뻔했데이, 조심하이소.
길이 꽁꽁 얼어붙었데이, 미끄러우니 조심하이소.
김떡순 묵고 싶다 아이가, 건강 생각해서 좀만 묵으이소.
김치도 한 톨도 없다 아이가, 마트 가자.
김치볶음밥 묵어야겠데이, 맛나게 드시이소.
김치볶음밥이나 해묵어야지, 맛나게 드시이소.
김치찌개 땡긴다 아이가, 맛있제~!
까아 우리 오빠들 컴백한댄다, 기다렸나보네예.
캄캄한데 전기가 안 들어온다 아이가, 쪼매만 기다리이소 전기 들어올끼다.
깡마른 거 같다 아이가, 지금이 딱 적당하이예.
꼴 사나워질 거 같아서 걱정된다, 스스로 강해지이소.
꽃 좀 받아보고 싶데이, 내가 주고 싶다 아이가.
꽃 사고 싶다 아이가, 집안 분위기 확 달라질끼다.
꽃 살까 싶다 아이가, 집안 분위기 확 달라질끼다.
꽃 선물 주면 좋아하겠나, 꽃은 언제나 좋지예.
꽃 선물 한번 해볼까, 꽃은 언제나 좋지예.
꽃 예쁘게 말려놨데이, 손재주 좋으시네예.
꽃게탕 지대로 맛있더라, 기분 좋으신갑네예.
꽃게탕 완전 밥도둑이라카이, 기분 좋으신갑네예.
꽃꽂이 배우는 중인데 좋더라, 마음 안정되기 딱 좋은 취미라예.
꽃꽂이 배우니까 참 좋데이, 마음 안정되기 딱 좋은 취미라예.
꽃놀이 가고 싶다 아이가, 벚꽃 필 철 다 됐지예.
꽃다발 말려볼라카이, 거꾸로 매달아가 드라이플라워 만들어보이소.
꽃다발 말리면 이쁘겠제, 거꾸로 매달아가 드라이플라워 만들어보이소.
꽃다발 받았다 아이가, 부럽네예!
꽃다발 샀다 아이가, 멋진 선물 하셨네예.
꽃다발 선물 괜찮겠나, 센스 넘치는 선물이라예.
꽃다발 선물 받았다 아이가, 부럽네예!
꽃다발 선물 어때 싶다 아이가, 센스 넘치는 선물이라예.
꽃다발 준비했다 아이가, 멋진 선물 하셨네예.
꽃바구니 선물이랑 과일바구니 중에 뭐가 좋겠노, 받는 사람 참 부럽다 아이가.
꽃바구니가 낫나 과일바구니가 낫나, 받는 사람 참 부럽다 아이가.
꽃 선물 받고 싶다 아이가, 내가 주고 싶네예.
꿀잼이라카이, 나도 재밌네예.
꿈은 많은데 말이다, 하나씩 차근차근 이뤄보이소.
꿈이 너무 많다 아이가, 하나씩 차근차근 이뤄보이소.
꿈이 너무 무서웠데이, 요즘 예민한갑네예.
꿈이 여러 가지라카이, 많으면 많을수록 좋지예.
꿈이 두 개야, 더 많아도 괜찮다 아이가.
꿈이 없다 아이가, 거창하지 않아도 돼이소.
꿈이 이루어질까, 현실을 꿈처럼 만들어보이소.
꿈이 자꾸 바뀐다 아이가, 많으면 많을수록 좋지예.
꿈이 현실이었으면 좋겠다 아이가, 현실을 꿈처럼 만들어보이소.
끝나니까 허무하다, 뜻대로 되는 일이 많지 않지예.
끝나면 좋을 줄 알았는데, 마음이 허전하신가 보네예.
낌새가 이상하더니 딱 걸렸네, 잘 해결되길 바라이소.
낌새가 있더니 딱 걸렸네, 잘 해결되길 바라이소.
내 혼자 야근해, 얼른 끝내시길 기도할게.
내 감정쓰레기통이었나 봐, 자신을 더 사랑하이소.
내 갖고 장난친 거 아이가, 아니길 바래요.
내 같은 사람은 동물 키우면 안 되겠다, 잘 아시네요.
내 같이 예쁜 애를 왜 갈구지, 애정 표현일 수도 있제.
내 거짓말 못 하겠다, 얼굴에 다 티가 나더라.
내 결정 잘 한 거지, 네, 이제 잘 해낼 차례예요.
내 결정했어, 좋은 결과 있을 거예요.
내 괜찮지 않나, 괜찮은 사람이에요.
내 교직이수할 수 있을까, 학점 관리 잘 하이소.
내 그동안 뭐한 거냐, 바람 좀 쐬고 오이소.
내 그지임, 밥 사줄 친구 찾으러 가이소.
내 내일 기숙사 가야 되나, 짐 빼놓지 말고 싸이소.
내 내장비만이라 카이, 식단 조절하고 꾸준히 운동 하이소.
내 너무 못 생겼다 아이가, 충분히 아름다우시네예.
내 너무 소심하다, 꼼꼼한 거라 아이가.
내 노트북 사줘, 노트북은 비싸다 아이가.
내 놀려먹기 쉬운가, 절대 그렇지 않다 아이가.
내 누구게, 저도 궁금하네요.
내 누락됐나 보네, 확인해달라고 해보이소.
내 다른 거 할까, 시도해봐도 좋지예.
내 대충한 거 아닌데, 사람들 몰라도 알아주는 사람이 있을끼다.
내 뒷담화하는 애 어떻게 할까, 너무 신경쓰지 말고 그러든지 하고 아무렇지도 않게 넘겨보이소.
내 뒷담화하는 애 있다는데 어떻게 하지, 너무 신경쓰지 말고 그러든지 하고 아무렇지도 않게 넘겨보이소.
내 많이 기대했는데, 상대에게 바라는 기대는 자신을 슬프게 한다 아이가.
내 말 실수한 거 같아, 곰곰히 되짚어보이소.
내 맨날 속는 거 같아, 즐겁게 속아 보이소.
내 머리 나쁜 것 같아, 자책하지 마이소.
내 머리가 나쁜 것 같아, 자책하지 마이소.
내 먼저 잘게, 안녕히 주무이소.
내 모르는 게 왜 이렇게 많지, 당연한 거 아이가.
내 몰래 사귀는 거 같애, 눈치가 빠르시네예.
내 무시 당한 거 같아, 그런 생각 들게 하는 사람은 상종하지 마이소.
내 무시하는 거 같아, 그런 생각 들게 하는 사람은 상종하지 마이소.
내 무시하는 사람 어떻게 해, 무시하이소.
내 무시하는 사람 짜증나, 무시하이소.
내 문제가 많은 거 같아, 문제는 해결하라고 있는 거라 아이가.
내 뭐 하는 거지, 멍 때리고 있지예.
내 미팅 한다!, 성공을 기원하이소.
내 바뀌고 싶다, 긍정적으로 바뀌어 갈 수 있다 아이가.
내 바본가 봐, 바보는 자기한테 바보라고 하지 않지예.
내 백수야, 저랑 놀아보이소.
내 버림 받은 거 같아, 아닐끼다.
내 보이스피싱 당한 거 같은데 어떡하나, 경찰에 신고하고 조취 취해보이소.
내 비만이야, 건강하게 운동 좀 해보이소.
내 사랑하니?, 엄청 사랑한댄게!
내 상 받는대!, 축하합니데이!
내 새 옷 샀다, 꼬까옷 개시해보이소.
내 서류에서 광탈했어, 자책하지 마이소.
내 소개팅한다!, 성공을 기원하이소.
내 속은 거 같아, 다시는 속지 마이소.
내 속은 듯, 기분 나쁘겠네.
내 수학여행 간다, 친구들하고 좋은 추억 만들고 와이소.
내 스마트폰 중독인가 봐, 가끔 폰 없이 살아보이소.
내 승진했어, 하늘만큼 땅만큼 축하해요.
내 실수한 건가, 잘 생각해보이소.
내 실수했나, 곰곰히 되짚어보이소.
내 아재인가, 고민하고 있으면 그럴 거예요.
내 아직 어른 아닌 거 같아, 물리적 나이가 아니라 정신적 나이가 중요하니께.
내 아직도 애 같아, 물리적 나이가 아니라 정신적 나이가 중요하니께.
내 어때?, 괜찮은 사람이에요.
내 여기서 뭐하는 거지, 멍 때리고 있지.
내 연기 너무 못 해 거짓말 못 하겠어, 얼굴에 다 티 나지 뭐.
내 열심히 할 거야, 잘하고 있네.
내 오늘 개불쌍, 저도 사는데요.
내 오늘 따라 잘생겨 보이네, 콩깍지 씌였나 봐요.
내 오늘 상 받았지롱, 축하해요!
내 완전 계탔어!, 축하해요!
내 왕따야, 친구들이랑 잘 어울려보이소.
내 왕따인 거 같아, 부모님한테 말해보이소.
내 왜 멍청해, 다음에는 다를 거예요.
내 왜 이러지?, 자책하지 마이소.
내 왜케 못 생겼지, 너는 충분히 아름다우시다 아이가.
내 요즘 정신 놓고 살고 있는 거 같아, 정신 차리이소.
내 욕 먹는 거 같아, 남들 눈 신경쓰지 마이소.
내 웃겨 봐, 거울 앞에 비친 니 모습을 봐봐.
내 은근 무시하는 애 있어, 콕 집어 물어보이소.
내 이상한가, 내 걸음 내 마음대로 걸어가면 되지 뭐.
내 이상해?, 평범한듯 특별한 내 모습이여.
내 이제 졸업해, 졸업 축하해요.
내 인정받고 싶어, 지금도 충분히 잘하고 있지 않나.
내 잘 살 수 있겠지, 지금보다 더 잘 살 거예요.
내 잘생겼지?, 잘생겼다 아이가.
내 잘하고 있는 건지 모르겠어, 잘하고 있을 거다.
내 잘하고 있는 걸까?, 잘하고 있을 거다.
내 잘하는 게 없어, 나랑 이야기 잘하고 있잖아.
내 잘하는 게 없는 거 같아, 잘하는 거 아직 못 찾은 걸 수도 있어.
내 잘할 수 있을까, 지금처럼 더 잘할 수 있을 거예요.
내 점점 괴물이 되고 있어, 그럴 리 없다.
내 정신차리게 말해줘, 나 자신에 집중하고 언제나 자기 자신을 1순위로 두라.
내 좀 건들지 마, 내가 챙겨줄게.
내 좀 건들지 말라고 해, 많이 지쳤나 봐요.
내 좀 내버려 두면 좋겠어, 많이 지쳤나봐요.
내 좀 내버려 뒀으면, 아무도 없는 곳으로 여행을 떠나보이소.
내 좀 안 건들였으면 좋겠어, 많이 지쳤나봐요.
내 좀 좋아해줬으면, 먼저 다가가 보이소.
내 좀 쩌는 듯, 동감이다 아이가.
내 좀 칭찬해줘, 지금도 잘하고 있다 아이가.
내 좋아하게 만들고 싶다, 내가 너 좋아하고 있다 아이가.
내 좋아하는 것 같아, 호의인지 호감인지 헷갈리노?
내 좋아해주는 사람 있겠지?, 나도 좋아한다 아이가.
내 주름살 있나?, 있어도 예쁘다 아이가.
내 죽을 뻔함, 지금은 괜찮다 아이가.
내 짤릴 거 같아, 초심으로 돌아가서 열심히 해보이소.
내 쫌 불쌍한 거 같아, 나도 이렇게 살고 있다 아이가.
내 챙겨줄 사람이 필요해, 내가 챙겨주고 싶다 아이가.
내 천재 같아, 내가 따라가려면 멀다 아이가.
내 천재임, 내가 따라가려면 멀다 아이가.
내 축구는 진짜 잘해, 운동 잘하는 사람 멋있다 아이가.
내 친구들한테 인정받고 싶어, 지금도 인정받고 있다 아이가.
내 폭식증인듯, 나를 관찰하고 음식 자체에 집중해 보이소.
내 폰 중독인 거 같애, 잠깐 핸드폰 내려두고 살펴보이소.
내 폰겜 너무 많이 해, 시간을 정해보이소.
내 폰겜 했더니 몇 시간 갔어, 시간을 정해보이소.
내 할 수 있어, 파이팅!
내 함부로 말하는 거 고치고 싶어, 고치고 싶다는 마음에서 시작해 보이소.
내 혼자 야근해, 얼른 끝내시길 기도할게.
내 혼자 여행 왔는데 괜찮네, 온전히 느낄 수 있는 시간이겠네.
내 혼자서 축구 본다, 축구 볼 때는 치맥이지.
내 화장을 너무 못해, 하다보면 늘어진다 아이가.
내 화장이 잘 안 돼, 하다보면 늘어진다 아이가.
내 회사에서 인정받고 싶다, 자기개발 해보이소.
나가기도 귀찮아, 집에서도 할 게 많다 아이가.
내는 그냥저냥 사는 거 같다, 오늘은 약간 변화를 줘보이소.
내는 기분 나쁜데 농담이라고 계속해, 정색 한번 해보이소.
내는 나약한 존재, 절대 그렇지 않다 아이가.
내는 누군고고, 나도 궁금하다 아이가.
내는 모자란 사람인 거 같디디, 모자라지 않는다 아이가.
내는 뭐든 할 수 있다, 파이팅!
내는 뭘 잘할까, 하나라도 있을 거니 열심히 찾아보이소.
내는 왜 이 모양일까, 자책하지 마라 아이가.
내는 왜 이렇게 태어났을까?, 서로 다르게 태어난 이유는 저마다의 목소리를 내기 위해서다 아이가. 자기 목소리 들어보이소.
내는 왜 태어났을까, 사랑 받기 위해 태어났다 아이가.
내는 잘 할 줄 아는 게 없는 거 같아, 잘해야 한다는 부담감을 버리거라.
내는 좋아하는 게 뭘까, 다양하게 경험해 보이소.
내는 좋은데 …., 현실의 벽에 부딪혔나 보다.
내는 친구가 없어, 친구가 들으면 서운해 할 수도 있겠다 아이가.
내는 친구라고 믿었는데, 뒤통수 맞았나 보다.
내도 괜찮은 사람인데, 알아봐 주는 사람이 있을 거다 아이가.
내도 대우 받고 싶다, 당당히 말해보이소.
내도 비키니 입고 싶다, 다이어트 파이팅!
내도 상 받고 싶다, 다음에는 받을 수 있을 거다 아이가.
내도 약초 캐볼까?, 근처 산에 가봐라.
내도 월급 필요해, 많이 벌수록 좋다 아이가.
내도 위로 받고 싶다, 내가 위로 많이 해줄게.
내도 이벤트가 되다니!, 축하한다 아이가!
내도 이제 아재인가, 고민하고 있으면 그럴 거다 아이가.
내도 중국 진출해볼까?, 좀 더 알아보고 해봐라.
내도 집 사고 싶어, 같이 살고 싶은 사람이 있나 보이네.
내도 커플룩 입고 싶다, 커플부터 만들어라.
내두 잘할거야, 잘 하실 거다 아이가!
나들이를 가볼까, 같이 가자.
내란 놈, 다 잘 될 거다 아이가.
내랑 놀아줘, 같이 놀자.
내랑 놀자, 지금 그러고 있다 아이가.
내랑 상관 없는 이야기들, 잊어버려라 아이가.
내랑 있는 게 힘들었나 봐, 상대방을 이해해 주라.
내른하다, 아무것도 안 해도 괜찮다 아이가.
내를 기다려줬으면 좋겠다, 상대방에게 너무 무거운 짐을 주지 마라.
내를 너무 오래 기다리게 했어, 기다리는 동안 많은 생각이 들었겠네.
내를 너무 함부로 대해, 그럴 때마다 따끔하게 말해라.
내를 미소짓게 만든 너, 상대방도 미소짓게 해라.
내를 바꿀 수 있는 건 뭐가 있을까, 지금 모습도 좋다 아이가.
내를 친구로 생각 안 했나 봐, 그런 친구는 거르라.
내를 호구로 아는 사람 어떡하노, 상종하지 마라.
내를 힘들게 하는 사람인데 붙잡고 싶다, 질질 끌지 마라.
내만 갈궈, 애정 표현일지도 모르겠다 아이가.
